helseforetak,hospital_match,enhet,sengeplasser,period,kilde,kilde_note
Universitetssykehuset Nord-Norge HF,Universitetssykehuset Nord-Norge,Hjertemedisinsk senge- og utredningspost,28,2024,UNN avdelingsoversikt,Illustrerer fordeling per enhet. Totalt ca. 580 godkjente somatiske sengeplasser; tallene kan svinge ved omstillinger og midlertidige reduksjoner.
Universitetssykehuset Nord-Norge HF,Universitetssykehuset Nord-Norge,Lungemedisinsk sengepost,17,2024,UNN avdelingsoversikt,Illustrerer fordeling per enhet. Totalt ca. 580 godkjente somatiske sengeplasser; tallene kan svinge ved omstillinger og midlertidige reduksjoner.
Universitetssykehuset Nord-Norge HF,Universitetssykehuset Nord-Norge,Nevro hud og revmatologisk sengepost,15,2024,UNN avdelingsoversikt,Illustrerer fordeling per enhet. Totalt ca. 580 godkjente somatiske sengeplasser; tallene kan svinge ved omstillinger og midlertidige reduksjoner.
Universitetssykehuset Nord-Norge HF,Universitetssykehuset Nord-Norge,Fordøyelse og nyre sengepost,14,2024,UNN avdelingsoversikt,Illustrerer fordeling per enhet. Totalt ca. 580 godkjente somatiske sengeplasser; tallene kan svinge ved omstillinger og midlertidige reduksjoner.
Universitetssykehuset Nord-Norge HF,Universitetssykehuset Nord-Norge,Rehabiliteringsenheten,14,2024,UNN avdelingsoversikt,Illustrerer fordeling per enhet. Totalt ca. 580 godkjente somatiske sengeplasser; tallene kan svinge ved omstillinger og midlertidige reduksjoner.
