hf_id,hf_navn,helseregion,spesialitet_kode,spesialitet,metric,period,value,unit,source_id,quality
983974724,Helse Bergen HF,H03,13,Barne- og ungdomspsykiatri,arsverk,2021,29,arsverk,ssb_14080,ekte
983974724,Helse Bergen HF,H03,13,Barne- og ungdomspsykiatri,arsverk,2022,29,arsverk,ssb_14080,ekte
983974724,Helse Bergen HF,H03,13,Barne- og ungdomspsykiatri,arsverk,2023,30,arsverk,ssb_14080,ekte
983974724,Helse Bergen HF,H03,13,Barne- og ungdomspsykiatri,arsverk,2024,35,arsverk,ssb_14080,ekte
983974724,Helse Bergen HF,H03,13,Barne- og ungdomspsykiatri,arsverk,2025,32,arsverk,ssb_14080,ekte
983974724,Helse Bergen HF,H03,14,Barnesykdommer,arsverk,2015,49,arsverk,ssb_14080,ekte
983974724,Helse Bergen HF,H03,14,Barnesykdommer,arsverk,2016,48,arsverk,ssb_14080,ekte
983974724,Helse Bergen HF,H03,14,Barnesykdommer,arsverk,2017,48,arsverk,ssb_14080,ekte
983974724,Helse Bergen HF,H03,14,Barnesykdommer,arsverk,2018,48,arsverk,ssb_14080,ekte
983974724,Helse Bergen HF,H03,14,Barnesykdommer,arsverk,2019,54,arsverk,ssb_14080,ekte
983974724,Helse Bergen HF,H03,14,Barnesykdommer,arsverk,2020,53,arsverk,ssb_14080,ekte
983974724,Helse Bergen HF,H03,14,Barnesykdommer,arsverk,2021,49,arsverk,ssb_14080,ekte
983974724,Helse Bergen HF,H03,14,Barnesykdommer,arsverk,2022,50,arsverk,ssb_14080,ekte
983974724,Helse Bergen HF,H03,14,Barnesykdommer,arsverk,2023,49,arsverk,ssb_14080,ekte
983974724,Helse Bergen HF,H03,14,Barnesykdommer,arsverk,2024,49,arsverk,ssb_14080,ekte
983974724,Helse Bergen HF,H03,14,Barnesykdommer,arsverk,2025,53,arsverk,ssb_14080,ekte
983974724,Helse Bergen HF,H03,15,Fysikalsk medisin og rehabilitering,arsverk,2015,9,arsverk,ssb_14080,ekte
983974724,Helse Bergen HF,H03,15,Fysikalsk medisin og rehabilitering,arsverk,2016,11,arsverk,ssb_14080,ekte
983974724,Helse Bergen HF,H03,15,Fysikalsk medisin og rehabilitering,arsverk,2017,14,arsverk,ssb_14080,ekte
983974724,Helse Bergen HF,H03,15,Fysikalsk medisin og rehabilitering,arsverk,2018,16,arsverk,ssb_14080,ekte
983974724,Helse Bergen HF,H03,15,Fysikalsk medisin og rehabilitering,arsverk,2019,15,arsverk,ssb_14080,ekte
983974724,Helse Bergen HF,H03,15,Fysikalsk medisin og rehabilitering,arsverk,2020,15,arsverk,ssb_14080,ekte
983974724,Helse Bergen HF,H03,15,Fysikalsk medisin og rehabilitering,arsverk,2021,16,arsverk,ssb_14080,ekte
983974724,Helse Bergen HF,H03,15,Fysikalsk medisin og rehabilitering,arsverk,2022,16,arsverk,ssb_14080,ekte
983974724,Helse Bergen HF,H03,15,Fysikalsk medisin og rehabilitering,arsverk,2023,16,arsverk,ssb_14080,ekte
983974724,Helse Bergen HF,H03,15,Fysikalsk medisin og rehabilitering,arsverk,2024,16,arsverk,ssb_14080,ekte
983974724,Helse Bergen HF,H03,15,Fysikalsk medisin og rehabilitering,arsverk,2025,17,arsverk,ssb_14080,ekte
983974724,Helse Bergen HF,H03,16,Fødselshjelp og kvinnesykdommer,arsverk,2015,33,arsverk,ssb_14080,ekte
983974724,Helse Bergen HF,H03,16,Fødselshjelp og kvinnesykdommer,arsverk,2016,33,arsverk,ssb_14080,ekte
983974724,Helse Bergen HF,H03,16,Fødselshjelp og kvinnesykdommer,arsverk,2017,34,arsverk,ssb_14080,ekte
983974724,Helse Bergen HF,H03,16,Fødselshjelp og kvinnesykdommer,arsverk,2018,34,arsverk,ssb_14080,ekte
983974724,Helse Bergen HF,H03,16,Fødselshjelp og kvinnesykdommer,arsverk,2019,35,arsverk,ssb_14080,ekte
983974724,Helse Bergen HF,H03,16,Fødselshjelp og kvinnesykdommer,arsverk,2020,37,arsverk,ssb_14080,ekte
983974724,Helse Bergen HF,H03,16,Fødselshjelp og kvinnesykdommer,arsverk,2021,43,arsverk,ssb_14080,ekte
983974724,Helse Bergen HF,H03,16,Fødselshjelp og kvinnesykdommer,arsverk,2022,49,arsverk,ssb_14080,ekte
983974724,Helse Bergen HF,H03,16,Fødselshjelp og kvinnesykdommer,arsverk,2023,48,arsverk,ssb_14080,ekte
983974724,Helse Bergen HF,H03,16,Fødselshjelp og kvinnesykdommer,arsverk,2024,49,arsverk,ssb_14080,ekte
983974724,Helse Bergen HF,H03,16,Fødselshjelp og kvinnesykdommer,arsverk,2025,48,arsverk,ssb_14080,ekte
983974724,Helse Bergen HF,H03,17,Generell kirurgi,arsverk,2015,11,arsverk,ssb_14080,ekte
983974724,Helse Bergen HF,H03,17,Generell kirurgi,arsverk,2016,9,arsverk,ssb_14080,ekte
983974724,Helse Bergen HF,H03,17,Generell kirurgi,arsverk,2017,9,arsverk,ssb_14080,ekte
983974724,Helse Bergen HF,H03,17,Generell kirurgi,arsverk,2018,6,arsverk,ssb_14080,ekte
983974724,Helse Bergen HF,H03,17,Generell kirurgi,arsverk,2019,8,arsverk,ssb_14080,ekte
983974724,Helse Bergen HF,H03,17,Generell kirurgi,arsverk,2020,10,arsverk,ssb_14080,ekte
983974724,Helse Bergen HF,H03,17,Generell kirurgi,arsverk,2021,8,arsverk,ssb_14080,ekte
983974724,Helse Bergen HF,H03,17,Generell kirurgi,arsverk,2022,9,arsverk,ssb_14080,ekte
983974724,Helse Bergen HF,H03,17,Generell kirurgi,arsverk,2023,7,arsverk,ssb_14080,ekte
983974724,Helse Bergen HF,H03,17,Generell kirurgi,arsverk,2024,6,arsverk,ssb_14080,ekte
983974724,Helse Bergen HF,H03,17,Generell kirurgi,arsverk,2025,5,arsverk,ssb_14080,ekte
983974724,Helse Bergen HF,H03,17a,Barnekirurgi,arsverk,2015,1,arsverk,ssb_14080,ekte
983974724,Helse Bergen HF,H03,17a,Barnekirurgi,arsverk,2016,2,arsverk,ssb_14080,ekte
983974724,Helse Bergen HF,H03,17a,Barnekirurgi,arsverk,2017,2,arsverk,ssb_14080,ekte
983974724,Helse Bergen HF,H03,17a,Barnekirurgi,arsverk,2018,2,arsverk,ssb_14080,ekte
983974724,Helse Bergen HF,H03,17a,Barnekirurgi,arsverk,2019,1,arsverk,ssb_14080,ekte
983974724,Helse Bergen HF,H03,17a,Barnekirurgi,arsverk,2020,1,arsverk,ssb_14080,ekte
983974724,Helse Bergen HF,H03,17a,Barnekirurgi,arsverk,2021,1,arsverk,ssb_14080,ekte
983974724,Helse Bergen HF,H03,17a,Barnekirurgi,arsverk,2022,1,arsverk,ssb_14080,ekte
983974724,Helse Bergen HF,H03,17a,Barnekirurgi,arsverk,2023,1,arsverk,ssb_14080,ekte
983974724,Helse Bergen HF,H03,17a,Barnekirurgi,arsverk,2024,1,arsverk,ssb_14080,ekte
