omrade_id,omrade_navn,omrade_type,tjenesteomrade,aldersgruppe,period,value,unit,source_id,quality
983974678,Helse Stavanger HF,hf,VOP,67-79,2015,27118,personer,ssb_13982,ekte
983974678,Helse Stavanger HF,hf,VOP,80-89,2015,9267,personer,ssb_13982,ekte
983974678,Helse Stavanger HF,hf,VOP,90+,2015,2312,personer,ssb_13982,ekte
983974678,Helse Stavanger HF,hf,VOP,alle,2015,270968,personer,ssb_13982,ekte
983974678,Helse Stavanger HF,hf,BUP,0-17,2015,87393,personer,ssb_13982,ekte
983974678,Helse Stavanger HF,hf,BUP,alle,2015,87393,personer,ssb_13982,ekte
983974678,Helse Stavanger HF,hf,TSB,0-17,2015,87393,personer,ssb_13982,ekte
983974678,Helse Stavanger HF,hf,TSB,18-29,2015,61568,personer,ssb_13982,ekte
983974678,Helse Stavanger HF,hf,TSB,30-49,2015,104450,personer,ssb_13982,ekte
983974678,Helse Stavanger HF,hf,TSB,50-66,2015,66253,personer,ssb_13982,ekte
983974678,Helse Stavanger HF,hf,TSB,67-79,2015,27118,personer,ssb_13982,ekte
983974678,Helse Stavanger HF,hf,TSB,80-89,2015,9267,personer,ssb_13982,ekte
983974678,Helse Stavanger HF,hf,TSB,90+,2015,2312,personer,ssb_13982,ekte
983974678,Helse Stavanger HF,hf,TSB,alle,2015,358361,personer,ssb_13982,ekte
983974694,Helse Fonna HF,hf,SOM,0-17,2015,42225,personer,ssb_13982,ekte
983974694,Helse Fonna HF,hf,SOM,18-29,2015,27491,personer,ssb_13982,ekte
983974694,Helse Fonna HF,hf,SOM,30-49,2015,48000,personer,ssb_13982,ekte
983974694,Helse Fonna HF,hf,SOM,50-66,2015,36224,personer,ssb_13982,ekte
983974694,Helse Fonna HF,hf,SOM,67-79,2015,17400,personer,ssb_13982,ekte
983974694,Helse Fonna HF,hf,SOM,80-89,2015,6431,personer,ssb_13982,ekte
983974694,Helse Fonna HF,hf,SOM,90+,2015,1750,personer,ssb_13982,ekte
983974694,Helse Fonna HF,hf,SOM,alle,2015,179521,personer,ssb_13982,ekte
