dataset_id,source_id,group_code,group_label,municipality_code,county_code,period,value,per_1000,unit,last_updated
medication_estimate,fhi_lmr_825,R03,Astma og KOLS,0301,03,2024,69273,96.52,personer,2026-02-16
medication_estimate,fhi_lmr_825,A10,Diabetes,0301,03,2024,56383,78.56,personer,2026-02-16
medication_estimate,fhi_lmr_825,C10,Kolesterolsenkende,0301,03,2024,97264,135.52,personer,2026-02-16
medication_estimate,fhi_lmr_825,C09,Blodtrykk (RAAS-hemmere),0301,03,2024,96640,134.65,personer,2026-02-16
medication_estimate,fhi_lmr_825,C07,Betablokkere,0301,03,2024,50699,70.64,personer,2026-02-16
medication_estimate,fhi_lmr_825,N06A,Antidepressiva,0301,03,2024,53032,73.89,personer,2026-02-16
medication_estimate,fhi_lmr_825,N05B,Angstdempende,0301,03,2024,30969,43.15,personer,2026-02-16
medication_estimate,fhi_lmr_825,N06B,ADHD / psykostimulerende,0301,03,2024,14318,19.95,personer,2026-02-16
medication_estimate,fhi_lmr_825,H03,Stoffskifte (thyreoidea),0301,03,2024,31472,43.85,personer,2026-02-16
medication_estimate,fhi_lmr_825,M05B,Benskjorhet (osteoporose),0301,03,2024,9747,13.58,personer,2026-02-16
medication_estimate,fhi_lmr_825,N02A,Opioider (smertestillende),0301,03,2024,73888,102.95,personer,2026-02-16
medication_estimate,fhi_lmr_825,R06,Allergi (antihistaminer),0301,03,2024,118056,164.49,personer,2026-02-16
medication_estimate,fhi_lmr_825,A02B,Magesyre (protonpumpehemmere),0301,03,2024,84080,117.15,personer,2026-02-16
medication_estimate,fhi_lmr_825,N03A,Epilepsi,0301,03,2024,10055,14.01,personer,2026-02-16
medication_estimate,fhi_lmr_825,R03,Astma og KOLS,0301,03,2025,69228,95.58,personer,2026-02-16
medication_estimate,fhi_lmr_825,A10,Diabetes,0301,03,2025,62035,85.65,personer,2026-02-16
medication_estimate,fhi_lmr_825,C10,Kolesterolsenkende,0301,03,2025,101053,139.52,personer,2026-02-16
medication_estimate,fhi_lmr_825,C09,Blodtrykk (RAAS-hemmere),0301,03,2025,100148,138.27,personer,2026-02-16
medication_estimate,fhi_lmr_825,C07,Betablokkere,0301,03,2025,51178,70.66,personer,2026-02-16
medication_estimate,fhi_lmr_825,N06A,Antidepressiva,0301,03,2025,55089,76.06,personer,2026-02-16
medication_estimate,fhi_lmr_825,N05B,Angstdempende,0301,03,2025,30891,42.65,personer,2026-02-16
medication_estimate,fhi_lmr_825,N06B,ADHD / psykostimulerende,0301,03,2025,16173,22.33,personer,2026-02-16
medication_estimate,fhi_lmr_825,H03,Stoffskifte (thyreoidea),0301,03,2025,31934,44.09,personer,2026-02-16
medication_estimate,fhi_lmr_825,M05B,Benskjorhet (osteoporose),0301,03,2025,10140,14,personer,2026-02-16
medication_estimate,fhi_lmr_825,N02A,Opioider (smertestillende),0301,03,2025,73363,101.29,personer,2026-02-16
medication_estimate,fhi_lmr_825,R06,Allergi (antihistaminer),0301,03,2025,119262,164.66,personer,2026-02-16
medication_estimate,fhi_lmr_825,A02B,Magesyre (protonpumpehemmere),0301,03,2025,84228,116.29,personer,2026-02-16
medication_estimate,fhi_lmr_825,N03A,Epilepsi,0301,03,2025,10118,13.97,personer,2026-02-16
medication_estimate,fhi_lmr_825,R03,Astma og KOLS,1101,11,2024,1469,96.52,personer,2026-02-16
medication_estimate,fhi_lmr_825,A10,Diabetes,1101,11,2024,1196,78.56,personer,2026-02-16
medication_estimate,fhi_lmr_825,C10,Kolesterolsenkende,1101,11,2024,2063,135.52,personer,2026-02-16
medication_estimate,fhi_lmr_825,C09,Blodtrykk (RAAS-hemmere),1101,11,2024,2050,134.65,personer,2026-02-16
medication_estimate,fhi_lmr_825,C07,Betablokkere,1101,11,2024,1075,70.64,personer,2026-02-16
medication_estimate,fhi_lmr_825,N06A,Antidepressiva,1101,11,2024,1125,73.89,personer,2026-02-16
medication_estimate,fhi_lmr_825,N05B,Angstdempende,1101,11,2024,657,43.15,personer,2026-02-16
medication_estimate,fhi_lmr_825,N06B,ADHD / psykostimulerende,1101,11,2024,304,19.95,personer,2026-02-16
medication_estimate,fhi_lmr_825,H03,Stoffskifte (thyreoidea),1101,11,2024,667,43.85,personer,2026-02-16
medication_estimate,fhi_lmr_825,M05B,Benskjorhet (osteoporose),1101,11,2024,207,13.58,personer,2026-02-16
medication_estimate,fhi_lmr_825,N02A,Opioider (smertestillende),1101,11,2024,1567,102.95,personer,2026-02-16
medication_estimate,fhi_lmr_825,R06,Allergi (antihistaminer),1101,11,2024,2504,164.49,personer,2026-02-16
medication_estimate,fhi_lmr_825,A02B,Magesyre (protonpumpehemmere),1101,11,2024,1783,117.15,personer,2026-02-16
medication_estimate,fhi_lmr_825,N03A,Epilepsi,1101,11,2024,213,14.01,personer,2026-02-16
medication_estimate,fhi_lmr_825,R03,Astma og KOLS,1101,11,2025,1470,95.58,personer,2026-02-16
medication_estimate,fhi_lmr_825,A10,Diabetes,1101,11,2025,1317,85.65,personer,2026-02-16
medication_estimate,fhi_lmr_825,C10,Kolesterolsenkende,1101,11,2025,2145,139.52,personer,2026-02-16
medication_estimate,fhi_lmr_825,C09,Blodtrykk (RAAS-hemmere),1101,11,2025,2126,138.27,personer,2026-02-16
