hf_id,hf_navn,helseregion,tjenesteomrade,metric,period,value,unit,source_id,quality
983974724,Helse Bergen HF,H03,TOT,sengedogn,2015,449999,dogn,ssb_13942,ekte
983974724,Helse Bergen HF,H03,TOT,sengedogn,2016,433630,dogn,ssb_13942,ekte
983974724,Helse Bergen HF,H03,TOT,sengedogn,2017,444506,dogn,ssb_13942,ekte
983974724,Helse Bergen HF,H03,TOT,sengedogn,2018,428874,dogn,ssb_13942,ekte
983974724,Helse Bergen HF,H03,TOT,sengedogn,2019,429629,dogn,ssb_13942,ekte
983974724,Helse Bergen HF,H03,TOT,sengedogn,2020,449833,dogn,ssb_13942,ekte
983974724,Helse Bergen HF,H03,TOT,sengedogn,2021,438228,dogn,ssb_13942,ekte
983974724,Helse Bergen HF,H03,TOT,sengedogn,2022,455929,dogn,ssb_13942,ekte
983974724,Helse Bergen HF,H03,TOT,sengedogn,2023,460729,dogn,ssb_13942,ekte
983974724,Helse Bergen HF,H03,TOT,sengedogn,2024,408220,dogn,ssb_13942,ekte
983974724,Helse Bergen HF,H03,TOT,sengedogn,2025,421437,dogn,ssb_13942,ekte
983974724,Helse Bergen HF,H03,TOT,beleggsprosent,2020,75,prosent,ssb_13942,ekte
983974724,Helse Bergen HF,H03,TOT,beleggsprosent,2021,82,prosent,ssb_13942,ekte
983974724,Helse Bergen HF,H03,TOT,beleggsprosent,2022,80,prosent,ssb_13942,ekte
983974724,Helse Bergen HF,H03,TOT,beleggsprosent,2023,79,prosent,ssb_13942,ekte
983974724,Helse Bergen HF,H03,TOT,beleggsprosent,2024,86,prosent,ssb_13942,ekte
983974724,Helse Bergen HF,H03,TOT,beleggsprosent,2025,83,prosent,ssb_13942,ekte
983974724,Helse Bergen HF,H03,TOT,beleggsprosent_oecd,2015,82,prosent,ssb_13942,ekte
983974724,Helse Bergen HF,H03,TOT,beleggsprosent_oecd,2016,78,prosent,ssb_13942,ekte
983974724,Helse Bergen HF,H03,TOT,beleggsprosent_oecd,2017,77,prosent,ssb_13942,ekte
983974724,Helse Bergen HF,H03,TOT,beleggsprosent_oecd,2018,79,prosent,ssb_13942,ekte
983974724,Helse Bergen HF,H03,TOT,beleggsprosent_oecd,2019,76,prosent,ssb_13942,ekte
983974724,Helse Bergen HF,H03,TOT,beleggsprosent_oecd,2020,71,prosent,ssb_13942,ekte
983974724,Helse Bergen HF,H03,TOT,beleggsprosent_oecd,2021,75,prosent,ssb_13942,ekte
983974724,Helse Bergen HF,H03,TOT,beleggsprosent_oecd,2022,76,prosent,ssb_13942,ekte
983974724,Helse Bergen HF,H03,TOT,beleggsprosent_oecd,2023,76,prosent,ssb_13942,ekte
983974724,Helse Bergen HF,H03,TOT,beleggsprosent_oecd,2024,77,prosent,ssb_13942,ekte
983974724,Helse Bergen HF,H03,TOT,beleggsprosent_oecd,2025,75,prosent,ssb_13942,ekte
983974724,Helse Bergen HF,H03,SOM,dognplasser,2015,1041,senger,ssb_13942,ekte
983974724,Helse Bergen HF,H03,SOM,dognplasser,2016,1035,senger,ssb_13942,ekte
983974724,Helse Bergen HF,H03,SOM,dognplasser,2017,1028,senger,ssb_13942,ekte
983974724,Helse Bergen HF,H03,SOM,dognplasser,2018,939,senger,ssb_13942,ekte
983974724,Helse Bergen HF,H03,SOM,dognplasser,2019,952,senger,ssb_13942,ekte
983974724,Helse Bergen HF,H03,SOM,dognplasser,2020,931,senger,ssb_13942,ekte
983974724,Helse Bergen HF,H03,SOM,dognplasser,2021,934,senger,ssb_13942,ekte
983974724,Helse Bergen HF,H03,SOM,dognplasser,2022,938,senger,ssb_13942,ekte
983974724,Helse Bergen HF,H03,SOM,dognplasser,2023,938,senger,ssb_13942,ekte
983974724,Helse Bergen HF,H03,SOM,dognplasser,2024,922,senger,ssb_13942,ekte
983974724,Helse Bergen HF,H03,SOM,dognplasser,2025,943,senger,ssb_13942,ekte
983974724,Helse Bergen HF,H03,SOM,utskrivninger,2015,65994,antall,ssb_13942,ekte
983974724,Helse Bergen HF,H03,SOM,utskrivninger,2016,65828,antall,ssb_13942,ekte
983974724,Helse Bergen HF,H03,SOM,utskrivninger,2017,64966,antall,ssb_13942,ekte
983974724,Helse Bergen HF,H03,SOM,utskrivninger,2018,62594,antall,ssb_13942,ekte
