municipality_code,aldersgruppe,period,value,unit,source_id,quality
3911,alle,2015,0,personer,ssb_07459,ekte
4001,alle,2015,0,personer,ssb_07459,ekte
4003,alle,2015,0,personer,ssb_07459,ekte
4005,alle,2015,0,personer,ssb_07459,ekte
4010,alle,2015,0,personer,ssb_07459,ekte
4012,alle,2015,0,personer,ssb_07459,ekte
4014,alle,2015,0,personer,ssb_07459,ekte
4016,alle,2015,0,personer,ssb_07459,ekte
4018,alle,2015,0,personer,ssb_07459,ekte
4020,alle,2015,0,personer,ssb_07459,ekte
4022,alle,2015,0,personer,ssb_07459,ekte
4024,alle,2015,0,personer,ssb_07459,ekte
4026,alle,2015,0,personer,ssb_07459,ekte
4028,alle,2015,0,personer,ssb_07459,ekte
4030,alle,2015,0,personer,ssb_07459,ekte
4032,alle,2015,0,personer,ssb_07459,ekte
4034,alle,2015,0,personer,ssb_07459,ekte
4036,alle,2015,0,personer,ssb_07459,ekte
4201,alle,2015,0,personer,ssb_07459,ekte
4202,alle,2015,0,personer,ssb_07459,ekte
4203,alle,2015,0,personer,ssb_07459,ekte
4204,alle,2015,0,personer,ssb_07459,ekte
4205,alle,2015,0,personer,ssb_07459,ekte
4206,alle,2015,0,personer,ssb_07459,ekte
4207,alle,2015,0,personer,ssb_07459,ekte
4211,alle,2015,0,personer,ssb_07459,ekte
4212,alle,2015,0,personer,ssb_07459,ekte
4213,alle,2015,0,personer,ssb_07459,ekte
4214,alle,2015,0,personer,ssb_07459,ekte
4215,alle,2015,0,personer,ssb_07459,ekte
4216,alle,2015,0,personer,ssb_07459,ekte
4217,alle,2015,0,personer,ssb_07459,ekte
4218,alle,2015,0,personer,ssb_07459,ekte
4219,alle,2015,0,personer,ssb_07459,ekte
4220,alle,2015,0,personer,ssb_07459,ekte
4221,alle,2015,0,personer,ssb_07459,ekte
4222,alle,2015,0,personer,ssb_07459,ekte
4223,alle,2015,0,personer,ssb_07459,ekte
4224,alle,2015,0,personer,ssb_07459,ekte
4225,alle,2015,0,personer,ssb_07459,ekte
4226,alle,2015,0,personer,ssb_07459,ekte
4227,alle,2015,0,personer,ssb_07459,ekte
4228,alle,2015,0,personer,ssb_07459,ekte
1101,0-17,2015,3536,personer,ssb_07459,ekte
1101,18-29,2015,2334,personer,ssb_07459,ekte
1101,30-49,2015,4001,personer,ssb_07459,ekte
1101,50-66,2015,3053,personer,ssb_07459,ekte
1101,67-79,2015,1373,personer,ssb_07459,ekte
1101,80-89,2015,515,personer,ssb_07459,ekte
1101,90+,2015,104,personer,ssb_07459,ekte
1101,alle,2015,14916,personer,ssb_07459,ekte
1103,0-17,2015,29350,personer,ssb_07459,ekte
