helseforetak,helseregion,tjenesteomrade_kode,tjenesteomrade,period,dognplasser,source_id,last_updated
Vestre Viken HF,Helse Sør-Øst,TOT,I alt,2024,935,ssb_13942,2026-06-18
Vestre Viken HF,Helse Sør-Øst,TOT,I alt,2025,964,ssb_13942,2026-06-18
Vestre Viken HF,Helse Sør-Øst,SOM,Somatisk,2024,665,ssb_13942,2026-06-18
Vestre Viken HF,Helse Sør-Øst,SOM,Somatisk,2025,691,ssb_13942,2026-06-18
Vestre Viken HF,Helse Sør-Øst,VOP,Psykisk helsevern voksne,2024,206,ssb_13942,2026-06-18
Vestre Viken HF,Helse Sør-Øst,VOP,Psykisk helsevern voksne,2025,206,ssb_13942,2026-06-18
Vestre Viken HF,Helse Sør-Øst,BUP,Psykisk helsevern barn og unge,2024,15,ssb_13942,2026-06-18
Vestre Viken HF,Helse Sør-Øst,BUP,Psykisk helsevern barn og unge,2025,19,ssb_13942,2026-06-18
Vestre Viken HF,Helse Sør-Øst,TSB,Rusbehandling (TSB),2024,49,ssb_13942,2026-06-18
Vestre Viken HF,Helse Sør-Øst,TSB,Rusbehandling (TSB),2025,48,ssb_13942,2026-06-18
Helse Nord-TrÃ¸ndelag HF,,TOT,I alt,2024,377,ssb_13942,2026-06-18
Helse Nord-TrÃ¸ndelag HF,,TOT,I alt,2025,377,ssb_13942,2026-06-18
Helse Nord-TrÃ¸ndelag HF,,SOM,Somatisk,2024,257,ssb_13942,2026-06-18
Helse Nord-TrÃ¸ndelag HF,,SOM,Somatisk,2025,257,ssb_13942,2026-06-18
Helse Nord-TrÃ¸ndelag HF,,VOP,Psykisk helsevern voksne,2024,98,ssb_13942,2026-06-18
Helse Nord-TrÃ¸ndelag HF,,VOP,Psykisk helsevern voksne,2025,98,ssb_13942,2026-06-18
Helse Nord-TrÃ¸ndelag HF,,BUP,Psykisk helsevern barn og unge,2024,6,ssb_13942,2026-06-18
Helse Nord-TrÃ¸ndelag HF,,BUP,Psykisk helsevern barn og unge,2025,6,ssb_13942,2026-06-18
Helse Nord-TrÃ¸ndelag HF,,TSB,Rusbehandling (TSB),2024,16,ssb_13942,2026-06-18
Helse Nord-TrÃ¸ndelag HF,,TSB,Rusbehandling (TSB),2025,16,ssb_13942,2026-06-18
Nordlandssykehuset HF,Helse Nord,TOT,I alt,2024,443,ssb_13942,2026-06-18
Nordlandssykehuset HF,Helse Nord,TOT,I alt,2025,439,ssb_13942,2026-06-18
Nordlandssykehuset HF,Helse Nord,SOM,Somatisk,2024,303,ssb_13942,2026-06-18
Nordlandssykehuset HF,Helse Nord,SOM,Somatisk,2025,295,ssb_13942,2026-06-18
Nordlandssykehuset HF,Helse Nord,VOP,Psykisk helsevern voksne,2024,119,ssb_13942,2026-06-18
Nordlandssykehuset HF,Helse Nord,VOP,Psykisk helsevern voksne,2025,119,ssb_13942,2026-06-18
Nordlandssykehuset HF,Helse Nord,BUP,Psykisk helsevern barn og unge,2024,13,ssb_13942,2026-06-18
Nordlandssykehuset HF,Helse Nord,BUP,Psykisk helsevern barn og unge,2025,13,ssb_13942,2026-06-18
Nordlandssykehuset HF,Helse Nord,TSB,Rusbehandling (TSB),2024,8,ssb_13942,2026-06-18
Nordlandssykehuset HF,Helse Nord,TSB,Rusbehandling (TSB),2025,12,ssb_13942,2026-06-18
Helgelandssykehuset HF,Helse Nord,TOT,I alt,2024,182,ssb_13942,2026-06-18
Helgelandssykehuset HF,Helse Nord,TOT,I alt,2025,159,ssb_13942,2026-06-18
Helgelandssykehuset HF,Helse Nord,SOM,Somatisk,2024,144,ssb_13942,2026-06-18
Helgelandssykehuset HF,Helse Nord,SOM,Somatisk,2025,121,ssb_13942,2026-06-18
Helgelandssykehuset HF,Helse Nord,VOP,Psykisk helsevern voksne,2024,23,ssb_13942,2026-06-18
Helgelandssykehuset HF,Helse Nord,VOP,Psykisk helsevern voksne,2025,23,ssb_13942,2026-06-18
Helgelandssykehuset HF,Helse Nord,BUP,Psykisk helsevern barn og unge,2024,7,ssb_13942,2026-06-18
Helgelandssykehuset HF,Helse Nord,BUP,Psykisk helsevern barn og unge,2025,7,ssb_13942,2026-06-18
Helgelandssykehuset HF,Helse Nord,TSB,Rusbehandling (TSB),2024,8,ssb_13942,2026-06-18
Helgelandssykehuset HF,Helse Nord,TSB,Rusbehandling (TSB),2025,8,ssb_13942,2026-06-18
Finnmarkssykehuset HF,Helse Nord,TOT,I alt,2024,186,ssb_13942,2026-06-18
Finnmarkssykehuset HF,Helse Nord,TOT,I alt,2025,184,ssb_13942,2026-06-18
Finnmarkssykehuset HF,Helse Nord,SOM,Somatisk,2024,138,ssb_13942,2026-06-18
Finnmarkssykehuset HF,Helse Nord,SOM,Somatisk,2025,134,ssb_13942,2026-06-18
Finnmarkssykehuset HF,Helse Nord,VOP,Psykisk helsevern voksne,2024,28,ssb_13942,2026-06-18
Finnmarkssykehuset HF,Helse Nord,VOP,Psykisk helsevern voksne,2025,30,ssb_13942,2026-06-18
Finnmarkssykehuset HF,Helse Nord,BUP,Psykisk helsevern barn og unge,2024,8,ssb_13942,2026-06-18
Finnmarkssykehuset HF,Helse Nord,BUP,Psykisk helsevern barn og unge,2025,8,ssb_13942,2026-06-18
Finnmarkssykehuset HF,Helse Nord,TSB,Rusbehandling (TSB),2024,12,ssb_13942,2026-06-18
Finnmarkssykehuset HF,Helse Nord,TSB,Rusbehandling (TSB),2025,12,ssb_13942,2026-06-18
Universitetssykehuset Nord-Norge HF,Helse Nord,TOT,I alt,2024,780,ssb_13942,2026-06-18
Universitetssykehuset Nord-Norge HF,Helse Nord,TOT,I alt,2025,813,ssb_13942,2026-06-18
Universitetssykehuset Nord-Norge HF,Helse Nord,SOM,Somatisk,2024,552,ssb_13942,2026-06-18
Universitetssykehuset Nord-Norge HF,Helse Nord,SOM,Somatisk,2025,593,ssb_13942,2026-06-18
Universitetssykehuset Nord-Norge HF,Helse Nord,VOP,Psykisk helsevern voksne,2024,149,ssb_13942,2026-06-18
Universitetssykehuset Nord-Norge HF,Helse Nord,VOP,Psykisk helsevern voksne,2025,154,ssb_13942,2026-06-18
Universitetssykehuset Nord-Norge HF,Helse Nord,BUP,Psykisk helsevern barn og unge,2024,14,ssb_13942,2026-06-18
Universitetssykehuset Nord-Norge HF,Helse Nord,BUP,Psykisk helsevern barn og unge,2025,14,ssb_13942,2026-06-18
Universitetssykehuset Nord-Norge HF,Helse Nord,TSB,Rusbehandling (TSB),2024,65,ssb_13942,2026-06-18
Universitetssykehuset Nord-Norge HF,Helse Nord,TSB,Rusbehandling (TSB),2025,52,ssb_13942,2026-06-18
Sykehuset Telemark HF,Helse Sør-Øst,TOT,I alt,2024,409,ssb_13942,2026-06-18
Sykehuset Telemark HF,Helse Sør-Øst,TOT,I alt,2025,418,ssb_13942,2026-06-18
Sykehuset Telemark HF,Helse Sør-Øst,SOM,Somatisk,2024,285,ssb_13942,2026-06-18
Sykehuset Telemark HF,Helse Sør-Øst,SOM,Somatisk,2025,287,ssb_13942,2026-06-18
Sykehuset Telemark HF,Helse Sør-Øst,VOP,Psykisk helsevern voksne,2024,103,ssb_13942,2026-06-18
Sykehuset Telemark HF,Helse Sør-Øst,VOP,Psykisk helsevern voksne,2025,110,ssb_13942,2026-06-18
Sykehuset Telemark HF,Helse Sør-Øst,BUP,Psykisk helsevern barn og unge,2024,8,ssb_13942,2026-06-18
Sykehuset Telemark HF,Helse Sør-Øst,BUP,Psykisk helsevern barn og unge,2025,8,ssb_13942,2026-06-18
Sykehuset Telemark HF,Helse Sør-Øst,TSB,Rusbehandling (TSB),2024,13,ssb_13942,2026-06-18
Sykehuset Telemark HF,Helse Sør-Øst,TSB,Rusbehandling (TSB),2025,13,ssb_13942,2026-06-18
Sunnaas sykehus HF,Helse Sør-Øst,TOT,I alt,2024,149,ssb_13942,2026-06-18
Sunnaas sykehus HF,Helse Sør-Øst,TOT,I alt,2025,149,ssb_13942,2026-06-18
Sunnaas sykehus HF,Helse Sør-Øst,SOM,Somatisk,2024,149,ssb_13942,2026-06-18
Sunnaas sykehus HF,Helse Sør-Øst,SOM,Somatisk,2025,149,ssb_13942,2026-06-18
Akershus universitetssykehus HF,Helse Sør-Øst,TOT,I alt,2024,1109,ssb_13942,2026-06-18
Akershus universitetssykehus HF,Helse Sør-Øst,TOT,I alt,2025,1123,ssb_13942,2026-06-18
Akershus universitetssykehus HF,Helse Sør-Øst,SOM,Somatisk,2024,810,ssb_13942,2026-06-18
Akershus universitetssykehus HF,Helse Sør-Øst,SOM,Somatisk,2025,824,ssb_13942,2026-06-18
Akershus universitetssykehus HF,Helse Sør-Øst,VOP,Psykisk helsevern voksne,2024,217,ssb_13942,2026-06-18
Akershus universitetssykehus HF,Helse Sør-Øst,VOP,Psykisk helsevern voksne,2025,217,ssb_13942,2026-06-18
Akershus universitetssykehus HF,Helse Sør-Øst,BUP,Psykisk helsevern barn og unge,2024,22,ssb_13942,2026-06-18
Akershus universitetssykehus HF,Helse Sør-Øst,BUP,Psykisk helsevern barn og unge,2025,22,ssb_13942,2026-06-18
Akershus universitetssykehus HF,Helse Sør-Øst,TSB,Rusbehandling (TSB),2024,60,ssb_13942,2026-06-18
Akershus universitetssykehus HF,Helse Sør-Øst,TSB,Rusbehandling (TSB),2025,60,ssb_13942,2026-06-18
SÃ¸rlandet sykehus HF,,TOT,I alt,2024,712,ssb_13942,2026-06-18
SÃ¸rlandet sykehus HF,,TOT,I alt,2025,720,ssb_13942,2026-06-18
SÃ¸rlandet sykehus HF,,SOM,Somatisk,2024,465,ssb_13942,2026-06-18
SÃ¸rlandet sykehus HF,,SOM,Somatisk,2025,473,ssb_13942,2026-06-18
SÃ¸rlandet sykehus HF,,VOP,Psykisk helsevern voksne,2024,174,ssb_13942,2026-06-18
SÃ¸rlandet sykehus HF,,VOP,Psykisk helsevern voksne,2025,174,ssb_13942,2026-06-18
SÃ¸rlandet sykehus HF,,BUP,Psykisk helsevern barn og unge,2024,10,ssb_13942,2026-06-18
SÃ¸rlandet sykehus HF,,BUP,Psykisk helsevern barn og unge,2025,10,ssb_13942,2026-06-18
SÃ¸rlandet sykehus HF,,TSB,Rusbehandling (TSB),2024,63,ssb_13942,2026-06-18
SÃ¸rlandet sykehus HF,,TSB,Rusbehandling (TSB),2025,63,ssb_13942,2026-06-18
Sykehuset i Vestfold HF,Helse Sør-Øst,TOT,I alt,2024,526,ssb_13942,2026-06-18
Sykehuset i Vestfold HF,Helse Sør-Øst,TOT,I alt,2025,522,ssb_13942,2026-06-18
Sykehuset i Vestfold HF,Helse Sør-Øst,SOM,Somatisk,2024,367,ssb_13942,2026-06-18
Sykehuset i Vestfold HF,Helse Sør-Øst,SOM,Somatisk,2025,361,ssb_13942,2026-06-18
Sykehuset i Vestfold HF,Helse Sør-Øst,VOP,Psykisk helsevern voksne,2024,107,ssb_13942,2026-06-18
Sykehuset i Vestfold HF,Helse Sør-Øst,VOP,Psykisk helsevern voksne,2025,109,ssb_13942,2026-06-18
Sykehuset i Vestfold HF,Helse Sør-Øst,BUP,Psykisk helsevern barn og unge,2024,6,ssb_13942,2026-06-18
Sykehuset i Vestfold HF,Helse Sør-Øst,BUP,Psykisk helsevern barn og unge,2025,6,ssb_13942,2026-06-18
Sykehuset i Vestfold HF,Helse Sør-Øst,TSB,Rusbehandling (TSB),2024,46,ssb_13942,2026-06-18
Sykehuset i Vestfold HF,Helse Sør-Øst,TSB,Rusbehandling (TSB),2025,46,ssb_13942,2026-06-18
Sykehuset Innlandet HF,Helse Sør-Øst,TOT,I alt,2024,904,ssb_13942,2026-06-18
Sykehuset Innlandet HF,Helse Sør-Øst,TOT,I alt,2025,881,ssb_13942,2026-06-18
Sykehuset Innlandet HF,Helse Sør-Øst,SOM,Somatisk,2024,643,ssb_13942,2026-06-18
Sykehuset Innlandet HF,Helse Sør-Øst,SOM,Somatisk,2025,624,ssb_13942,2026-06-18
Sykehuset Innlandet HF,Helse Sør-Øst,VOP,Psykisk helsevern voksne,2024,189,ssb_13942,2026-06-18
Sykehuset Innlandet HF,Helse Sør-Øst,VOP,Psykisk helsevern voksne,2025,185,ssb_13942,2026-06-18
Sykehuset Innlandet HF,Helse Sør-Øst,BUP,Psykisk helsevern barn og unge,2024,23,ssb_13942,2026-06-18
Sykehuset Innlandet HF,Helse Sør-Øst,BUP,Psykisk helsevern barn og unge,2025,23,ssb_13942,2026-06-18
Sykehuset Innlandet HF,Helse Sør-Øst,TSB,Rusbehandling (TSB),2024,49,ssb_13942,2026-06-18
Sykehuset Innlandet HF,Helse Sør-Øst,TSB,Rusbehandling (TSB),2025,49,ssb_13942,2026-06-18
Sykehuset Ã˜stfold HF,,TOT,I alt,2024,635,ssb_13942,2026-06-18
Sykehuset Ã˜stfold HF,,TOT,I alt,2025,638,ssb_13942,2026-06-18
Sykehuset Ã˜stfold HF,,SOM,Somatisk,2024,431,ssb_13942,2026-06-18
Sykehuset Ã˜stfold HF,,SOM,Somatisk,2025,431,ssb_13942,2026-06-18
Sykehuset Ã˜stfold HF,,VOP,Psykisk helsevern voksne,2024,155,ssb_13942,2026-06-18
Sykehuset Ã˜stfold HF,,VOP,Psykisk helsevern voksne,2025,155,ssb_13942,2026-06-18
Sykehuset Ã˜stfold HF,,BUP,Psykisk helsevern barn og unge,2024,15,ssb_13942,2026-06-18
Sykehuset Ã˜stfold HF,,BUP,Psykisk helsevern barn og unge,2025,18,ssb_13942,2026-06-18
Sykehuset Ã˜stfold HF,,TSB,Rusbehandling (TSB),2024,34,ssb_13942,2026-06-18
Sykehuset Ã˜stfold HF,,TSB,Rusbehandling (TSB),2025,34,ssb_13942,2026-06-18
Helse MÃ¸re og Romsdal HF,,TOT,I alt,2024,706,ssb_13942,2026-06-18
Helse MÃ¸re og Romsdal HF,,TOT,I alt,2025,677,ssb_13942,2026-06-18
Helse MÃ¸re og Romsdal HF,,SOM,Somatisk,2024,492,ssb_13942,2026-06-18
Helse MÃ¸re og Romsdal HF,,SOM,Somatisk,2025,469,ssb_13942,2026-06-18
Helse MÃ¸re og Romsdal HF,,VOP,Psykisk helsevern voksne,2024,143,ssb_13942,2026-06-18
Helse MÃ¸re og Romsdal HF,,VOP,Psykisk helsevern voksne,2025,143,ssb_13942,2026-06-18
Helse MÃ¸re og Romsdal HF,,BUP,Psykisk helsevern barn og unge,2024,12,ssb_13942,2026-06-18
Helse MÃ¸re og Romsdal HF,,BUP,Psykisk helsevern barn og unge,2025,12,ssb_13942,2026-06-18
Helse MÃ¸re og Romsdal HF,,TSB,Rusbehandling (TSB),2024,59,ssb_13942,2026-06-18
Helse MÃ¸re og Romsdal HF,,TSB,Rusbehandling (TSB),2025,53,ssb_13942,2026-06-18
