region_id,region_navn,region_type,tjenesteomrade,aldersgruppe,diagnose_kode,diagnose_navn,metric,period,value,unit,source_id,quality
0,Hele landet,land,SOM,alle,VIII,(H60-H95) Sykdommer i øre og ørebensknute (processus mastoideus),pasienter_dogn,2015,4497,personer,ssb_14824,ekte
0,Hele landet,land,SOM,alle,VIII,(H60-H95) Sykdommer i øre og ørebensknute (processus mastoideus),dognopphold,2015,4830,antall,ssb_14824,ekte
0,Hele landet,land,SOM,alle,VIII,(H60-H95) Sykdommer i øre og ørebensknute (processus mastoideus),oppholdsdogn,2015,15768,dogn,ssb_14824,ekte
0,Hele landet,land,SOM,alle,X,(J00-J99) Sykdommer i åndedrettssystemet,pasienter,2015,205365,personer,ssb_14824,ekte
0,Hele landet,land,SOM,alle,X,(J00-J99) Sykdommer i åndedrettssystemet,pasienter_dogn,2015,52530,personer,ssb_14824,ekte
0,Hele landet,land,SOM,alle,X,(J00-J99) Sykdommer i åndedrettssystemet,dognopphold,2015,68820,antall,ssb_14824,ekte
0,Hele landet,land,SOM,alle,X,(J00-J99) Sykdommer i åndedrettssystemet,oppholdsdogn,2015,378666,dogn,ssb_14824,ekte
0,Hele landet,land,SOM,alle,XI,(K00-K93) Sykdommer i fordøyelsessystemet,pasienter,2015,233142,personer,ssb_14824,ekte
0,Hele landet,land,SOM,alle,XI,(K00-K93) Sykdommer i fordøyelsessystemet,pasienter_dogn,2015,53955,personer,ssb_14824,ekte
0,Hele landet,land,SOM,alle,XI,(K00-K93) Sykdommer i fordøyelsessystemet,dognopphold,2015,68430,antall,ssb_14824,ekte
0,Hele landet,land,SOM,alle,XI,(K00-K93) Sykdommer i fordøyelsessystemet,oppholdsdogn,2015,272928,dogn,ssb_14824,ekte
0,Hele landet,land,SOM,alle,XII,(L00-L99) Sykdommer i hud og underhud,pasienter,2015,184050,personer,ssb_14824,ekte
0,Hele landet,land,SOM,alle,XII,(L00-L99) Sykdommer i hud og underhud,pasienter_dogn,2015,7479,personer,ssb_14824,ekte
0,Hele landet,land,SOM,alle,XII,(L00-L99) Sykdommer i hud og underhud,dognopphold,2015,8940,antall,ssb_14824,ekte
0,Hele landet,land,SOM,alle,XII,(L00-L99) Sykdommer i hud og underhud,oppholdsdogn,2015,51684,dogn,ssb_14824,ekte
0,Hele landet,land,SOM,alle,XIII,(M00-M99) Sykdommer i muskel-skjelettsystemet og bindevev,pasienter,2015,353232,personer,ssb_14824,ekte
0,Hele landet,land,SOM,alle,XIII,(M00-M99) Sykdommer i muskel-skjelettsystemet og bindevev,pasienter_dogn,2015,55482,personer,ssb_14824,ekte
0,Hele landet,land,SOM,alle,XIII,(M00-M99) Sykdommer i muskel-skjelettsystemet og bindevev,dognopphold,2015,67458,antall,ssb_14824,ekte
0,Hele landet,land,SOM,alle,XIII,(M00-M99) Sykdommer i muskel-skjelettsystemet og bindevev,oppholdsdogn,2015,372426,dogn,ssb_14824,ekte
0,Hele landet,land,SOM,alle,XIV,(N00-N99) Sykdommer i urin- og kjønnsorganer,pasienter,2015,260274,personer,ssb_14824,ekte
0,Hele landet,land,SOM,alle,XIV,(N00-N99) Sykdommer i urin- og kjønnsorganer,pasienter_dogn,2015,40362,personer,ssb_14824,ekte
0,Hele landet,land,SOM,alle,XIV,(N00-N99) Sykdommer i urin- og kjønnsorganer,dognopphold,2015,50454,antall,ssb_14824,ekte
0,Hele landet,land,SOM,alle,XIV,(N00-N99) Sykdommer i urin- og kjønnsorganer,oppholdsdogn,2015,168798,dogn,ssb_14824,ekte
0,Hele landet,land,SOM,alle,XIX,"(S00-T98) Skader, forgiftninger og visse andre konsekvenser av ytre årsaker",pasienter,2015,335667,personer,ssb_14824,ekte
0,Hele landet,land,SOM,alle,XIX,"(S00-T98) Skader, forgiftninger og visse andre konsekvenser av ytre årsaker",pasienter_dogn,2015,77382,personer,ssb_14824,ekte
0,Hele landet,land,SOM,alle,XIX,"(S00-T98) Skader, forgiftninger og visse andre konsekvenser av ytre årsaker",dognopphold,2015,92838,antall,ssb_14824,ekte
0,Hele landet,land,SOM,alle,XIX,"(S00-T98) Skader, forgiftninger og visse andre konsekvenser av ytre årsaker",oppholdsdogn,2015,376044,dogn,ssb_14824,ekte
0,Hele landet,land,SOM,alle,XV,"(O00-O99) Svangerskap, fødsel og barseltid",pasienter,2015,66978,personer,ssb_14824,ekte
0,Hele landet,land,SOM,alle,XV,"(O00-O99) Svangerskap, fødsel og barseltid",pasienter_dogn,2015,23058,personer,ssb_14824,ekte
0,Hele landet,land,SOM,alle,XV,"(O00-O99) Svangerskap, fødsel og barseltid",dognopphold,2015,27102,antall,ssb_14824,ekte
0,Hele landet,land,SOM,alle,XV,"(O00-O99) Svangerskap, fødsel og barseltid",oppholdsdogn,2015,88044,dogn,ssb_14824,ekte
0,Hele landet,land,SOM,alle,XVI,(P00-P96) Visse tilstander som oppstår i perinatalperioden,pasienter,2015,10350,personer,ssb_14824,ekte
0,Hele landet,land,SOM,alle,XVI,(P00-P96) Visse tilstander som oppstår i perinatalperioden,pasienter_dogn,2015,6627,personer,ssb_14824,ekte
0,Hele landet,land,SOM,alle,XVI,(P00-P96) Visse tilstander som oppstår i perinatalperioden,dognopphold,2015,7392,antall,ssb_14824,ekte
0,Hele landet,land,SOM,alle,XVI,(P00-P96) Visse tilstander som oppstår i perinatalperioden,oppholdsdogn,2015,69750,dogn,ssb_14824,ekte
0,Hele landet,land,SOM,alle,XVII,"(Q00-Q99) Medfødte misdannelser, deformiteter og kromosomavvik",pasienter,2015,45276,personer,ssb_14824,ekte
